output_protocol,component,model,cutoff_percent,n,exact_match,token_f1,sentencebert
oa_future,future,qwen_base,40,153,0.1437908496732026,0.6942816340501277,0.8332948493801691
oa_future,future,qwen_base,55,153,0.20261437908496732,0.7413940442487156,0.8611882122513516
oa_future,future,qwen_base,70,153,0.26143790849673204,0.8033056577750926,0.8997288731967702
oa_future,future,qwen_base,85,153,0.29411764705882354,0.8285452148773949,0.9129436986119139
oa_future,future,qwen_base,95,153,0.3006535947712418,0.8081752744670853,0.8917849858601888
oa_future,future,gpt4o,all,918,0.20588235294117646,0.64929332079534,0.7469683445519352
oa_future,future,gpt4o,25,153,0.1111111111111111,0.5716233298177312,0.6696952430446164
oa_future,future,gpt4o,40,153,0.16993464052287582,0.606695326623415,0.7111750693103067
oa_future,future,gpt4o,55,153,0.20261437908496732,0.6478925205959473,0.7467245194647048
oa_future,future,gpt4o,70,153,0.26143790849673204,0.6907802631665042,0.7904746385376438
oa_future,future,gpt4o,85,153,0.2549019607843137,0.6873337516019163,0.7851368940733616
oa_future,future,gpt4o,95,153,0.23529411764705882,0.6914347329665259,0.7786037028809778
oa_future,future,luna,all,918,0.12091503267973856,0.5122807017379257,0.6220585611650886
oa_future,future,luna,25,153,0.05228758169934641,0.4375973664750118,0.5676915651442958
oa_future,future,luna,40,153,0.06535947712418301,0.47263036245394857,0.5943036927701602
oa_future,future,luna,55,153,0.10457516339869281,0.5015050152933926,0.622821647162531
oa_future,future,luna,70,153,0.1503267973856209,0.529645659943136,0.6323095298086117
oa_future,future,luna,85,153,0.17647058823529413,0.5432632953805919,0.6327811323739345
oa_future,future,luna,95,153,0.17647058823529413,0.5890425108814732,0.682443799730999
oa_future,plan,tuned_qwen,all,1590,0.40125786163522015,0.8765531979384714,0.9051919861784521
oa_future,plan,tuned_qwen,25,265,0.3584905660377358,0.8692633426814709,0.8930213252328477
oa_future,plan,tuned_qwen,40,265,0.38113207547169814,0.870068965157931,0.9008492851032401
oa_future,plan,tuned_qwen,55,265,0.41509433962264153,0.8780184360023495,0.9072043749521363
oa_future,plan,tuned_qwen,70,265,0.41132075471698115,0.8782401068410592,0.9086604122845632
oa_future,plan,tuned_qwen,85,265,0.41509433962264153,0.8789366824241452,0.9081339931712961
oa_future,plan,tuned_qwen,95,265,0.42641509433962266,0.8847916545238725,0.9132825263266293
oa_future,plan,qwen_base,all,1590,0.1918238993710692,0.7392604265339165,0.8695145784309075
oa_future,plan,qwen_base,25,265,0.1169811320754717,0.712941459991345,0.8555143782552683
oa_future,plan,qwen_base,40,265,0.1471698113207547,0.7209397906881165,0.8638887667431021
oa_future,plan,qwen_base,55,265,0.1811320754716981,0.7347719864302139,0.870112118631039
oa_future,plan,qwen_base,70,265,0.21132075471698114,0.7500815263831037,0.8720016062259675
oa_future,plan,qwen_base,85,265,0.24150943396226415,0.7595436114103522,0.8792269399705923
oa_future,plan,qwen_base,95,265,0.2528301886792453,0.7572841843003683,0.876343660759476
oa_future,plan,gpt4o,all,1590,0.2490566037735849,0.7506098484615872,0.8478717203597602
oa_future,plan,gpt4o,25,265,0.13962264150943396,0.6712382845684473,0.7872654561726552
oa_future,plan,gpt4o,40,265,0.22264150943396227,0.7220173476046025,0.8224157147812393
oa_future,plan,gpt4o,55,265,0.2528301886792453,0.759827295769516,0.8541912485968391
oa_future,plan,gpt4o,70,265,0.2943396226415094,0.7812213622176619,0.8691631870449714
oa_future,plan,gpt4o,85,265,0.2981132075471698,0.7821504790174351,0.8730729011994488
oa_future,plan,gpt4o,95,265,0.28679245283018867,0.7872043215918604,0.8811218143634076
oa_future,plan,luna,all,1590,0.16289308176100628,0.6931695504646688,0.8252249404319427
oa_future,plan,luna,25,265,0.05660377358490566,0.6097485420833999,0.7816211143754563
oa_future,plan,luna,40,265,0.09433962264150944,0.6473556323013945,0.8030352882619174
oa_future,plan,luna,55,265,0.15471698113207547,0.6907172880737741,0.8259547930843425
oa_future,plan,luna,70,265,0.21132075471698114,0.7201708936237239,0.8409157655149136
oa_future,plan,luna,85,265,0.23018867924528302,0.7345958988586365,0.844966152703987
oa_future,plan,luna,95,265,0.23018867924528302,0.7564290478470838,0.8548565286510396
